Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
CZE,Czech Republic,Czech Republic,Czech Republic,CZ,Czech koruna,,Europe & Central Asia,High income,CZ,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,BPM6,,Special trade system,Consolidated central government,Yes,2010,2013,2018,
COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,,Sub-Saharan Africa,Low income,ZR,Enhanced General Data Dissemination System (e-GDDS),,"Multiple Indicator Cluster Survey, 2017/18","1-2-3 survey (1-2-3), 2012/13",IDA,HIPC,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1999??001,2011,BPM6,Actual,,Budgetary central government,,,,,2005
DNK,Denmark,Denmark,Kingdom of Denmark,DK,Danish krone,,Europe & Central Asia,High income,DK,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,General trade system,Consolidated central government,Yes,2010,2014,2018,2012
DJI,Djibouti,Djibouti,Republic of Djibouti,DJ,Djibouti franc,,Middle East & North Africa,Lower middle income,DJ,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2006","Priority survey (PS), 2017",IDA,,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,,,,2009,2000
DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,Dominican peso,,Latin America & Caribbean,Upper middle income,DO,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",IBRD,,Original chained constant price data are rescaled.,2007,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,General trade system,Consolidated central government,,2015,1984,2017,2010
ECU,Ecuador,Ecuador,Republic of Ecuador,EC,U.S. dollar,,Latin America & Caribbean,Upper middle income,EC,Special Data Dissemination Standard (SDDS),2020 (expected),"Reproductive Health Survey, 2004","Integrated household survey (IHS), 2018",IBRD,,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,,,,2008,2018,2005
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,Fiscal year end: June 30; reporting period for national accounts data: FY for years 1980 and after. The data from 1973 to 1979 are calendar year data.,Middle East & North Africa,Lower middle income,EG,Special Data Dissemination Standard (SDDS),2017,"Health Issues Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",IBRD,,2016/17,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Yes,2009-2010,2012,2018,2010
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",IBRD,,Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,Yes,2007-2008,1998,2018,2005
EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,EE,Special Data Dissemination Standard (SDDS),"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",,Euro area,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1987??5,Rolling,BPM6,,General trade system,Consolidated central government,Yes,2010,2014,2018,2014
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,SZ,Swazi lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Sub-Saharan Africa,Lower middle income,SZ,Enhanced General Data Dissemination System (e-GDDS),2017,"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10",IBRD,,2011,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,,,2011,2017,2000
